序号,非标地址,对应标准地址
1,68庐山公寓25号704室,福建省厦门市思明区东浦三里25号704室
2,63厦航洪文小区/(洪文六 里 )3号1003,福建省厦门市思明区洪文六里3号1003室
3,72水警鼓疗海军工程处139 号、603 室号、,福建省厦门市思明区西林东路139号603室
4,都市新巢小区615-114-1号店面,福建省厦门市思明区洪莲中路615-114-1号
5,59怡富花园一、二期216号C104室,福建省厦门市思明区莲前西路216号C104室
6,思明前埔二里216号<8075>莲前街道前埔北社区|莲前街道|1005室,福建省厦门市思明区前埔二里216号1005室
7,思明前埔五里161号<2807>莲前街道|莲薇社区|莲前街道|201室,福建省厦门市思明区前埔五里161号201室
8,20金鸡亭花园小区/37号614,福建省厦门市思明区西林东里37号614室
9,莲前东路-818号莲薇-204室,福建省厦门市思明区莲前东路818号204室
10,54前埔南小区(店上东西里)36号 105室,福建省厦门市思明区店上东里36号105室
11,店上东里前埔南小区(店上东西里)29$702室,福建省厦门市思明区店上东里29号702室
12,古楼北里72号(753)莲前思明前埔南社区\\莲前\\607室,福建省厦门市思明区古楼北里72号607室
13,前埔北一 里 110号603,福建省厦门市思明区前埔一里110号603室
14,50云亭花园348号601,福建省厦门市思明区莲前西路348-1号601室
15,店上东里前埔南小区(店上东西里)79$703室,福建省厦门市思明区店上东里79号703室
16,洪文村洪文五里2号\4909\莲前瑞景社区|莲前|301室,福建省厦门市思明区洪文五里2号301室
17,64金鸡亭花园小区28号404室,福建省厦门市思明区西林西里28号404室
18,69金鸡亭花园小区----3号104室,福建省厦门市思明区西林西里3号104室
19,文兴东三里21号503室,福建省厦门市思明区文兴东三里21号503室
20,店上东里74号前埔南-106室,福建省厦门市思明区店上东里74号106室
21,莲前西路怡富花园一、二期240$502室,福建省厦门市思明区莲前西路240号502室
22,文兴东二里34号<2204>莲前街道前埔南社区|莲前街道|103室,福建省厦门市思明区文兴东二里34号103室
23,3龙山桥部队小区、196号203室,福建省厦门市思明区东浦路196号203室
24,莲前西路727号(6477)莲前莲顺社区|莲前|1102室,福建省厦门市思明区莲前西路727号1102室
25,54永裕侨建闽联云顶岩299号102室,福建省厦门市思明区西林东路299号102室
26,前埔北区二 里 178 号、413 室号、,福建省厦门市思明区前埔二里178号413室
27,西林西里金鸡亭花园小区118$301室,福建省厦门市思明区西林西里118号301室
28,洪莲西里洪山柄北区71#502室,福建省厦门市思明区洪莲西里71号502室
29,美疆商贸公司（2楼）,福建省厦门市思明区莲前西路336-10号
30,洪文七里瑞景公园9$1802室,福建省厦门市思明区洪文七里9号1802室
31,文兴东二里50号向阳坊门口,福建省厦门市思明区文兴东二里50号
32,文兴东二里72号香港周六福,福建省厦门市思明区文兴东二里72号
33,洪莲里86号(2223)莲前侨福社区\莲前\201室,福建省厦门市思明区洪莲里86号201室
34,西林路14号A幢502室,福建省厦门市思明区西林路14号502室
35,思明前埔东一里32号(6265)莲前思明前埔北社区\莲前\702室,福建省厦门市思明区前埔东一里32号702室
36,洪文五里文兴社76$704室,福建省厦门市思明区洪文五里76号704室
37,莲前西路广顺花园687$201室,福建省厦门市思明区莲前西路687-1-1号201室
38,西林东路永裕侨建闽联云顶岩208#101室,福建省厦门市思明区西林东路208-1号101室
39,莲前西路216号<8189>莲前街道|莲怡社区||莲前街道||C102室,福建省厦门市思明区莲前西路216号C102室
40,洪莲里60号莲丰社区C110/,福建省厦门市思明区洪莲里60号C110室
41,东山社244号,福建省厦门市思明区东山社244号
42,东浦路164号701室,福建省厦门市思明区东浦路164号701室
43,洪文五里华瑞花园9$201室,福建省厦门市思明区洪文五里9号201室
44,洪文一里瑞景新村118|302室,福建省厦门市思明区洪文一里118号302室
45,前埔北/一里58号502室,福建省厦门市思明区前埔一里58号502室
46,莲前西路云亭花园324|801室,福建省厦门市思明区莲前西路324号801室
47,43店上东西里小区。6号106室,福建省厦门市思明区店上东里6号106室
48,联丰新城9号楼1601,福建省厦门市思明区洪莲路9号1601室
49,洪文二里瑞景生活广场111$501室,福建省厦门市思明区洪文二里111号501室
50,90龙山桥莲坂军休所156号502室,福建省厦门市思明区莲前西路156号502室
51,51店上东西里小区25号201室,福建省厦门市思明区店上东里25号201室
52,古楼北里69号前埔南-503室,福建省厦门市思明区古楼北里69号503室
53,文兴东二里37号前埔南-704室,福建省厦门市思明区文兴东二里37号704室
54,店上东里店上东西里小区63#106室,福建省厦门市思明区店上东里63号106室
55,96怡富花园一、二期22o号4o2室,福建省厦门市思明区莲前西路220号402室
56,东浦三里24号202室,福建省厦门市思明区东浦三里24号202室
57,古楼北里27号206室,福建省厦门市思明区古楼北里27号206室
58,莲前东路华林紫微小区792#402室,福建省厦门市思明区莲前东路792号402室
59,西林西里金鸡亭花园小区122$602室,福建省厦门市思明区西林西里122号602室
60,前埔一里前埔北一里55#107室,福建省厦门市思明区前埔一里55号107室
61,65瑞景新村127号，102室,福建省厦门市思明区洪文一里127号102室
62,洪文一里瑞景新村16#702室,福建省厦门市思明区洪文一里16号702室
63,73金鸡亭花园小区１１３号５０３室,福建省厦门市思明区西林西里113号503室
64,莲前西路-719号莲顺社区|402室,福建省厦门市思明区莲前西路719号402室
65,加州建材广场B栋1102,福建省厦门市思明区云顶中路515号
66,店上东里17号201室,福建省厦门市思明区店上东里17号201室
67,西林西二里金磊花园30|702室,福建省厦门市思明区西林西二里30号702室
68,洪文六里潘宅南小区187#402室,福建省厦门市思明区洪文六里187号402室
69,洪莲路益辉花园96#501室,福建省厦门市思明区洪莲路96号501室
70,莲前洪文松树公寓A栋314室,福建省厦门市思明区洪莲西二路1462号314室
71,莲前西路-611号莲顺社区302-1室,福建省厦门市思明区莲前西路611号302-1室
72,西林西里140-6号,福建省厦门市思明区西林西里140-6号
73,西林东里153-14号,福建省厦门市思明区西林东里153-14号
74,西林社125-1号401室,福建省厦门市思明区西林社125-1号401室
75,西林东里56号金鸡亭/C608室,福建省厦门市思明区西林东里56号C608室
76,西林西里29号金鸡亭社区C601|,福建省厦门市思明区西林西里29号C601室
77,东浦路182号(1238)莲前龙山桥社区\\莲前\\C110室,福建省厦门市思明区东浦路182号C110室
78,洪莲中路-20-101号莲丰/201室,福建省厦门市思明区洪莲中路20-101号201室
79,西林西里35号金鸡亭社区|103室,福建省厦门市思明区西林西里35号103室
80,龙山桥莲坂军休所152号，502室,福建省厦门市思明区莲前西路152号502室
81,莲前西路-729号莲顺-502室,福建省厦门市思明区莲前西路729号502室
82,前埔一里184号前埔北/404室,福建省厦门市思明区前埔一里184号404室
83,店上东里61号\7405\莲前思明前埔南社区|莲前|401室,福建省厦门市思明区店上东里61号401室
84,洪文一里10号瑞景-502室,福建省厦门市思明区洪文一里10号502室
85,前埔五里155号莲薇社区302室,福建省厦门市思明区前埔五里155号302室
86,莲前东路762号(1723)莲前莲薇社区\\莲前\\106室,福建省厦门市思明区莲前东路762号106室
87,洪文八里116号莲翔-302室,福建省厦门市思明区洪文八里116号302室
88,64华林紫微小区790号403室,福建省厦门市思明区莲前东路790号403室
89,洪文石村社南片区43号,福建省厦门市思明区洪文石村社南片区43号
90,洪文村洪文四里6号(7792)莲前瑞景社区|莲前|1201室,福建省厦门市思明区洪文四里6号1201室
91,洪莲东二里46号万景-701室,福建省厦门市思明区洪莲东二里46号701室
92,前埔五里197号406室,福建省厦门市思明区前埔五里197号406室
93,西林西里79号金鸡亭/404室,福建省厦门市思明区西林西里79号404室
94,田厝路-21号前埔北社区101室,福建省厦门市思明区田厝路21号101室
95,莲前西路-西林社32号,福建省厦门市思明区西林社32号
96,古楼北里36号前埔南-507室,福建省厦门市思明区古楼北里36号507室
97,东山社87号,福建省厦门市思明区东山社87号
98,洪文一里31号瑞景-601室,福建省厦门市思明区洪文一里31号601室
99,洪文村洪文五里58号(9577)莲前瑞景社区\莲前\402室,福建省厦门市思明区洪文五里58号402室
100,洪文六里12号莲翔社区|701室,福建省厦门市思明区洪文六里12号701室
101,东浦三里21号龙山桥社区|101室,福建省厦门市思明区东浦三里21号101室
102,店上东里103号(1429)莲前思明前埔南社区\\莲前\\601室,福建省厦门市思明区店上东里103号601室
103,侨文里22号侨福-501室,福建省厦门市思明区侨文里22号501室
104,前埔东一里17号前埔北社区503室,福建省厦门市思明区前埔东一里17号503室
105,洪莲东二里万科·金域蓝湾一期北区10#1601室,福建省厦门市思明区洪莲东二里10号1601室
106,莲前东路1206号606,福建省厦门市思明区莲前东路1206号606室
107,44洪文三里小区4号801室,福建省厦门市思明区洪文三里4号801室
108,瑞景新村131号104室,福建省厦门市思明区洪文一里131号104室
109,瑞景新村120号401室,福建省厦门市思明区洪文一里120号401室
110,益辉花园46号602室,福建省厦门市思明区洪莲路46号602室
111,洪文村洪文六里25号<6256>莲前街道|莲翔社区|莲前街道|501室,福建省厦门市思明区洪文六里25号501室
112,86前埔北区|二里210号310室,福建省厦门市思明区前埔二里210号310室
113,店上东西里小区16号1o4室,福建省厦门市思明区店上西里16号104室
114,水警鼓疗海军工程处137号601室,福建省厦门市思明区西林东路137号601室
115,前埔一里217号408室,福建省厦门市思明区前埔一里217号408室
116,洪莲中路28号艾掌管,福建省厦门市思明区洪莲中路28号
117,52民盛安置房721号601室,福建省厦门市思明区云顶中路721号601室
118,洪莲路17-128号，阿泉烧烤店,福建省厦门市思明区洪莲路17-128号
119,文兴东一里26号501室,福建省厦门市思明区文兴东一里26号501室
120,瑞景公园18号1601室,福建省厦门市思明区洪文七里18号1601室
121,金鸡亭小区1号203,福建省厦门市思明区洪莲中路16号
122,瑞景新村100号502室,福建省厦门市思明区洪文一里100号502室
123,洪莲里70号606室,福建省厦门市思明区洪莲里70号606室
124,前埔五里华林绿景花园163|401室,福建省厦门市思明区前埔五里163号401室
125,洪文七里17号202,福建省厦门市思明区洪文七里17号202室
126,东方大院8号106,福建省厦门市思明区金尚路8号106室
127,莲前西路172号(5923)莲前龙山桥社区|莲前|501室,福建省厦门市思明区莲前西路172号501室
128,94福满山庄120号1201室,福建省厦门市思明区洪莲里120号1201室
129,48龙山桥部队小区/176号201,福建省厦门市思明区东浦路176号201室
130,西林东路-9-25号莲云-102室,福建省厦门市思明区西林东路9-25号102室
131,西林社26-1号103室,福建省厦门市思明区西林社26-1号103室
132,思明区西林社26-1号103室 /,福建省厦门市思明区西林社26-1号103室
133,88怡富花园一、二期28o号C1o7室,福建省厦门市思明区莲前西路280号C107室
134,莲前东路-673号侨福社区201室,福建省厦门市思明区莲前东路673号201室
135,55金沙花园32号602之4室,福建省厦门市思明区西林西二里32号602-4室
136,莲前西路-270号莲怡社区203室,福建省厦门市思明区莲前西路270号203室
137,洪文八里72号,福建省厦门市思明区洪文八里72号
138,洪文六里29号莲翔-701室,福建省厦门市思明区洪文六里29号701室
139,思明前埔二里148号<7647>莲前街道前埔北社区|莲前街道|305室,福建省厦门市思明区前埔二里148号305室
140,店上西里22号前埔南社区109室,福建省厦门市思明区店上西里22号109室
141,西林东里7号金鸡亭社区203室,福建省厦门市思明区西林东里7号203室
142,店上东里67号前埔南/603室,福建省厦门市思明区店上东里67号603室
143,莲前西路-224号莲怡-302室,福建省厦门市思明区莲前西路224号302室
144,洪文村洪文七里27号<8037>莲前街道瑞景社区|莲前街道|2501室,福建省厦门市思明区洪文七里27号2501室
145,莲前东路601号山清水族馆,福建省厦门市思明区莲前东路601号
146,东浦三里24号龙山桥社区502|,福建省厦门市思明区东浦三里24号502室
147,洪莲东二里28号万景社区702|,福建省厦门市思明区洪莲东二里28号702室
148,西林西里122号金鸡亭-1202室,福建省厦门市思明区西林西里122号1202室
149,莲前西路186号(508)莲前龙山桥社区|莲前|501室,福建省厦门市思明区莲前西路186号501室
150,洪文五里81号洪文社区401/,福建省厦门市思明区洪文五里81号401室
151,东浦路242号403室,福建省厦门市思明区东浦路242号403室
152,32金鸡亭花园小区96号2o1室,福建省厦门市思明区西林西里96号201室
153,44华林东盛花园17号201室,福建省厦门市思明区前埔东一里17号201室
154,前埔二里53号303室,福建省厦门市思明区前埔二里53号303室
155,古楼北里4号前埔南社区302室,福建省厦门市思明区古楼北里4号302室
156,洪文一里61号301室,福建省厦门市思明区洪文一里61号301室
157,洪文一里61号瑞景-301室,福建省厦门市思明区洪文一里61号301室
158,洪莲西里50号106室,福建省厦门市思明区洪莲西里50号106室
159,洪莲西里50号莲丰-106室,福建省厦门市思明区洪莲西里50号106室
160,洪文六里68号莲翔社区1101室,福建省厦门市思明区洪文六里68号1101室
161,东浦路178号<8707>莲前街道龙山桥社区||莲前街道||C111室,福建省厦门市思明区东浦路178号C111室
162,西林村西林西里147号<3207>莲前街道金鸡亭社区||莲前街道||B106室,福建省厦门市思明区西林西里147号B106室
163,东浦三里30-4号龙山桥-C119室,福建省厦门市思明区东浦三里30-4号C119室
164,洪文八里122号莲翔社区|C102室,福建省厦门市思明区洪文八里122号C102室
165,莲前西路-342-1号莲怡社区802/,福建省厦门市思明区莲前西路342-1号802室
166,洪文村洪文一里11号(5707)莲前瑞景社区\\莲前\\302室,福建省厦门市思明区洪文一里11号302室
167,莲前东路-906号莲薇社区|301室,福建省厦门市思明区莲前东路906号301室
168,店上西里29号-前埔南社区102室,福建省厦门市思明区店上西里29号102室
169,思明前埔二里56号<4683>莲前街道前埔北社区|莲前街道|307室,福建省厦门市思明区前埔二里56号307室
170,思明前埔一里162号<3194>莲前街道前埔北社区|莲前街道|505室,福建省厦门市思明区前埔一里162号505室
171,莲前西路-128号龙山桥社区|705室,福建省厦门市思明区莲前西路128号705室
172,73国贸新城38号603室,福建省厦门市思明区前埔二里38号603室
173,店上东里24号前埔南社区504/,福建省厦门市思明区店上东里24号504室
174,62前埔南区文兴东一二里31号204室,福建省厦门市思明区文兴东二里31号204室
175,西林西里33号金鸡亭社区607|,福建省厦门市思明区西林西里33号607室
176,70前埔北/一里190号301室,福建省厦门市思明区前埔一里190号301室
177,洪文七里10号瑞景-401室,福建省厦门市思明区洪文七里10号401室
178,思明前埔二里221号(8071)莲前街道前埔北社区\\莲前街道\\508室,福建省厦门市思明区前埔二里221号508室
179,前埔东一里30号802室,福建省厦门市思明区前埔东一里30号802室
180,莲前东路-826号莲薇-603室,福建省厦门市思明区莲前东路826号603室
181,古楼北里19号楼下,福建省厦门市思明区古楼北里19号
182,东浦路186号202室,福建省厦门市思明区东浦路186号202室
183,前埔一里前埔北一里107#510室,福建省厦门市思明区前埔一里107号510室
184,洪文八里118号莲翔社区302室,福建省厦门市思明区洪文八里118号302室
185,西林东里95号金鸡亭-1室,福建省厦门市思明区西林东里95号1室
186,洪莲西里159号洪文社区701/,福建省厦门市思明区洪莲西里159号701室
187,前埔五里175号莲薇社区102室,福建省厦门市思明区前埔五里175号102室
188,侨福城侨龙里18号203室,福建省厦门市思明区侨龙里18号203室
189,西林东里136-12号,福建省厦门市思明区西林东里136-12号
190,西林村东坪山社70号,福建省厦门市思明区东坪山社70号
191,洪文三里6号瑞景社区|102室,福建省厦门市思明区洪文三里6号102室
192,莲前西路-230号莲怡-704室,福建省厦门市思明区莲前西路230号704室
193,莲前东路-381号-莲丰社区1007室,福建省厦门市思明区莲前东路381号1007室
194,东浦三里28号龙山桥社区|2903室,福建省厦门市思明区东浦三里28号2903室
195,70华林东盛花园299号401,福建省厦门市思明区前埔中路299号401室
196,思明前埔六里10号(5479)莲前莲翔社区\\莲前\\2101室,福建省厦门市思明区前埔六里10号2101室
197,洪文村洪文八里135号\5997\莲前莲翔社区|莲前|701室,福建省厦门市思明区洪文八里135号701室
198,云顶岩路61号\2556\莲前莲云社区|莲前|105室,福建省厦门市思明区云顶岩路61号105室
199,洪莲中路213-8号210，逸夫中学旁边,福建省厦门市思明区洪莲中路213-8号210室
200,东芳山庄91号<5888>莲前街道|莲顺社区||莲前街道||201室,福建省厦门市思明区东芳山庄91号201室
201,云顶中路502-15号,福建省厦门市思明区云顶中路502-15号
202,洪文村洪文三里3号(3601)莲前街道瑞景社区||莲前街道||C101室,福建省厦门市思明区洪文三里3号C101室
203,西林村西林西里7号(3655)莲前街道金鸡亭社区\\莲前街道\\C401室,福建省厦门市思明区西林西里7号C401室
204,70金磊花园２７号３０２室,福建省厦门市思明区西林西二里27号302室
205,洪文一里64号瑞景社区302室,福建省厦门市思明区洪文一里64号302室
206,洪文村洪文三里7号(5216)莲前瑞景社区\\莲前\\401室,福建省厦门市思明区洪文三里7号401室
207,前埔二里134号前埔北-604室,福建省厦门市思明区前埔二里134号604室
208,店上东里58号\4083\莲前思明前埔南社区|莲前|108室,福建省厦门市思明区店上东里58号108室
209,90怡富花园一、二期224号402室,福建省厦门市思明区莲前西路224号402室
210,洪文村洪文一里77号\9297\莲前瑞景社区|莲前|501室,福建省厦门市思明区洪文一里77号501室
211,店上西里37#前埔南社区506室,福建省厦门市思明区店上西里37号506室
212,田厝路3号(5141)莲前思明前埔北社区\\莲前\\107室,福建省厦门市思明区田厝路3号107室
213,洪莲路15号(1037)莲前莲丰社区|莲前|1102室,福建省厦门市思明区洪莲路15号1102室
214,洪莲西里58号<9153>莲前街道|莲顺社区||莲前街道||1503室,福建省厦门市思明区洪莲西里58号1503室
215,洪山柄北区152号楼楼下,福建省厦门市思明区洪莲西里152号
216,店上东里36#前埔南社区506室,福建省厦门市思明区店上东里36号506室
217,洪文七里16号-瑞景社区|502室,福建省厦门市思明区洪文七里16号502室
218,前埔西路5号,福建省厦门市思明区前埔西路5号
219,前埔五里176号1102室,福建省厦门市思明区前埔五里176号1102室
220,莲前西路290号(6259)莲前莲怡社区\\莲前\\1102室,福建省厦门市思明区莲前西路290号1102室
221,洪莲路199号,福建省厦门市思明区洪莲路199号
222,前埔一里236号305室,福建省厦门市思明区前埔一里236号305室
223,前埔二里40号前埔北-402室,福建省厦门市思明区前埔二里40号402室
224,侨文里20号(009)莲前侨福社区\\莲前\\602室,福建省厦门市思明区侨文里20号602室
225,古楼北里33号(4623)莲前街道前埔南社区||莲前街道||805室,福建省厦门市思明区古楼北里33号805室
226,洪莲西里109号\1375\莲前洪文村洪文社区|莲前|301室,福建省厦门市思明区洪莲西里109号301室
227,莲前西路182号\1074\莲前龙山桥社区|莲前|208室,福建省厦门市思明区莲前西路182号208室
228,西林社95号西林/104室,福建省厦门市思明区西林社95号104室
229,洪莲西路37-2号201室,福建省厦门市思明区洪莲西路37-2号201室
230,洪莲中路-76号莲丰-201室,福建省厦门市思明区洪莲中路76号201室
231,西林西二里金磊花园34#C101室,福建省厦门市思明区西林西二里34号C101室
232,思明区莲前西路益友花园118号508室,福建省厦门市思明区莲前西路118号508室
233,洪文六里16号莲翔-701室,福建省厦门市思明区洪文六里16号701室
234,店上东西里小区。37号505室,福建省厦门市思明区店上西里37号505室
235,前埔一里前埔北一里161$501室,福建省厦门市思明区前埔一里161号501室
236,83前埔北区|二里214号702室,福建省厦门市思明区前埔二里214号702室
237,前埔一里前埔北一里185$601室,福建省厦门市思明区前埔一里185号601室
238,洪文一里瑞景新村71$402室,福建省厦门市思明区洪文一里71号402室
239,洪莲西里嘉盛豪园14#603室,福建省厦门市思明区洪莲西里14号603室
240,洪文六里云景花园151$502室,福建省厦门市思明区洪文六里151号502室
241,51店上东西里小区78号206室,福建省厦门市思明区店上东里78号206室
242,7前埔南小区。(店上东西里)78号206室,福建省厦门市思明区店上东里78号206室
243,洪文一里瑞景新村61#501室,福建省厦门市思明区洪文一里61号501室
244,莲前西路广顺花园711$401室,福建省厦门市思明区莲前西路711号401室
245,洪莲路-84号莲丰-502室,福建省厦门市思明区洪莲路84号502室
246,前埔一里前埔北一里197#504室,福建省厦门市思明区前埔一里197号504室
247,东浦路120号302,福建省厦门市思明区东浦路120号
248,莲前东路绿洲花园824$602室,福建省厦门市思明区莲前东路824号602室
249,西林西里162号601,福建省厦门市思明区西林西里162号601室
250,93嘉盛豪园33号603室,福建省厦门市思明区洪莲西里33号603室
251,60怡富花园一、二期248号502室,福建省厦门市思明区莲前西路248号502室
252,店上东里店上东西里小区54|102室,福建省厦门市思明区店上东里54号102室
253,莲前东路华林一期三期928#803室,福建省厦门市思明区莲前东路928号803室
254,店上东里前埔南小区(店上东西里)100$401室,福建省厦门市思明区店上东里100号401室
255,莲前西路广顺花园697$501室,福建省厦门市思明区莲前西路697号501室
256,62洪山柄北区82号201室,福建省厦门市思明区洪莲西里82号201室
257,古楼北里38号前埔南-306室,福建省厦门市思明区古楼北里38号306室
258,洪文村洪文六里5号<2013>莲前街道|莲翔社区||莲前街道||501室,福建省厦门市思明区洪文六里5号501室
259,嘉盛新村57号1101室,福建省厦门市思明区洪莲西里57号1101室
260,21华林二期8号502室,福建省厦门市思明区前埔二里8号502室
261,店上东里101号前埔南社区305/,福建省厦门市思明区店上东里101号305室
262,前埔东一里华林东盛花园2$1201室,福建省厦门市思明区前埔东一里2号1201室
263,云顶至尊95号202室,福建省厦门市思明区洪文七里95-1号202室
264,洪山柄北区141号602之2室,福建省厦门市思明区洪莲西里141号602-2室
265,瑞景小学旁洪文五里1-14号店面,福建省厦门市思明区洪文五里1-14号
266,53绿洲花园832 号、109 室号、,福建省厦门市思明区莲前东路832号109室
267,莲前西路-724号莲云社区102/,福建省厦门市思明区莲前西路724号102室
268,西林村西林路52号<4849>莲前街道|莲怡社区|莲前街道|302室,福建省厦门市思明区西林路52号302室
269,洪莲里16号(1885)莲前街道|莲丰社区||莲前街道||503室,福建省厦门市思明区洪莲里16号503室
270,洪文村洪文一里9号(2018)莲前瑞景社区|莲前|202室,福建省厦门市思明区洪文一里9号202室
271,古楼南里25号前埔南-201室,福建省厦门市思明区古楼南里25号201室
272,前埔二里49号前埔北-202室,福建省厦门市思明区前埔二里49号202室
273,前埔一里226号前埔北社区306室,福建省厦门市思明区前埔一里226号306室
274,前埔五里163号502室,福建省厦门市思明区前埔五里163号502室
275,古楼北里49号(5661)莲前街道前埔南社区||莲前街道||602室,福建省厦门市思明区古楼北里49号602室
276,前埔二里50号前埔北-204室,福建省厦门市思明区前埔二里50号204室
277,益友花园112号301室,福建省厦门市思明区莲前西路112号301室
278,联发紫微花园894号408室,福建省厦门市思明区莲前东路894号408室
279,店上东里7号前埔南-304室,福建省厦门市思明区店上东里7号304室
280,洪文村洪文一里112号\7743\莲前瑞景社区|莲前|202室,福建省厦门市思明区洪文一里112号202室
281,12前埔南小区(店上东西里)８４号１０２室,福建省厦门市思明区店上东里84号102室
282,店上东西里小区84号102室,福建省厦门市思明区店上东里84号102室
283,前埔北/一里219号404室,福建省厦门市思明区前埔一里219号404室
284,91益友花园118号108室,福建省厦门市思明区莲前西路118号108室
285,66华林绿景花园157号502室,福建省厦门市思明区前埔五里157号502室
286,洪文村洪文一里56号(4306)莲前瑞景社区\\莲前\\602室,福建省厦门市思明区洪文一里56号602室
287,洪莲里86号侨福-501室,福建省厦门市思明区洪莲里86号501室
288,莲前西路-715号莲顺社区801|,福建省厦门市思明区莲前西路715号801室
289,88前埔北/一里21o号6o4室,福建省厦门市思明区前埔一里210号604室
290,前埔北区一里86号404,福建省厦门市思明区前埔一里86号404室
291,22前埔北/一里86号404室,福建省厦门市思明区前埔一里86号404室
292,前埔西路309号,福建省厦门市思明区前埔西路309号
293,东浦路-166号龙山桥社区101室,福建省厦门市思明区东浦路166号101室
294,洪莲西里72号洪文-201室,福建省厦门市思明区洪莲西里72号201室
295,云顶岩路39号701室,福建省厦门市思明区云顶岩路39号701室
296,前埔二里156号前埔北-604室,福建省厦门市思明区前埔二里156号604室
297,侨文里20号502室,福建省厦门市思明区侨文里20号502室
298,古楼北里39号<3075>莲前街道前埔南社区||莲前街道||304室,福建省厦门市思明区古楼北里39号304室
299,西林村西林东里31号(1104)莲前金鸡亭社区\\莲前\\C501室,福建省厦门市思明区西林东里31号C501室
300,洪文石村社北片区41-107号,福建省厦门市思明区洪文石村社北片区41-107号
301,洪文六里169号洪文社区|101室,福建省厦门市思明区洪文六里169号101室
302,84华美宿舍楼240号C103室,福建省厦门市思明区东浦路240-1号C103室
303,前埔中路9-115号河南饭店,福建省厦门市思明区前埔中路9-115号
304,古楼北里42号前埔南-203室,福建省厦门市思明区古楼北里42号203室
305,洪文八里64号,福建省厦门市思明区洪文八里64号
306,店上东里47号(8197)莲前思明前埔南社区|莲前|404室,福建省厦门市思明区店上东里47号404室
307,前埔北区|二里119号8o3室,福建省厦门市思明区前埔二里119号803室
308,思明前埔二里214号(6888)莲前街道前埔北社区\\莲前街道\\1001室,福建省厦门市思明区前埔二里214号1001室
309,西林西里77号317,福建省厦门市思明区西林西里77号317室
310,前埔一里78号603室,福建省厦门市思明区前埔一里78号603室
311,前埔一里前埔北一里78#603室,福建省厦门市思明区前埔一里78号603室
312,洪文村洪文一里74号(7575)莲前街道瑞景社区||莲前街道||202室,福建省厦门市思明区洪文一里74号202室
313,西林西里56号503,福建省厦门市思明区西林西里56号503室
314,西林西里56号503室,福建省厦门市思明区西林西里56号503室
315,前埔一里236号前埔北社区905室,福建省厦门市思明区前埔一里236号905室
316,洪文村洪文六里191号(7066)莲前洪文村洪文社区\\莲前\\501室,福建省厦门市思明区洪文六里191号501室
317,古楼北里64号<6462>莲前街道前埔南社区||莲前街道||602室,福建省厦门市思明区古楼北里64号602室
318,西林村西林西里73号(2144)莲前金鸡亭社区\\莲前\\607室,福建省厦门市思明区西林西里73号607室
319,西林村西林路26号\6551\莲前莲怡社区|莲前|202室,福建省厦门市思明区西林路26号202室
320,西林村西林东里119号<5071>莲前街道金鸡亭社区||莲前街道||606室,福建省厦门市思明区西林东里119号606室
321,思明前埔一里185号(9248)莲前思明前埔北社区\\莲前\\502室,福建省厦门市思明区前埔一里185号502室
322,11前埔北一 里 204号615,福建省厦门市思明区前埔一里204号615室
323,莲前西路220号<8846>莲前街道|莲怡社区|莲前街道|102室,福建省厦门市思明区莲前西路220号102室
324,莲前西路332号\879\莲前莲怡社区|莲前|202室,福建省厦门市思明区莲前西路332号202室
325,洪山柄北区144-602,福建省厦门市思明区洪莲西里144号602室
326,前埔北区|二里165号506室,福建省厦门市思明区前埔二里165号506室
327,24云景花园119 号、601 室号、,福建省厦门市思明区洪文六里119号601室
328,莲前东路-57号莲丰社区404室,福建省厦门市思明区莲前东路57号404室
