序号,非标地址,对应标准地址
329,店上东里10号\8282\莲前思明前埔南社区|莲前|503室,福建省厦门市思明区店上东里10号503室
330,洪莲中路16号202室,福建省厦门市思明区洪莲中路16号202室
331,洪莲西里14号(7943)莲前莲丰社区\\莲前\\1101室,福建省厦门市思明区洪莲西里14号1101室
332,莲前西路184号(3656)莲前龙山桥社区\\莲前\\301-2室,福建省厦门市思明区莲前西路184号301-2室
333,70庐山公寓１８号C１０１室,福建省厦门市思明区东浦三里18号C101室
334,西林路28号404-2室,福建省厦门市思明区西林路28号404-2室
335,莲前西路200号<7726>莲前街道|莲怡社区|莲前街道|C103室,福建省厦门市思明区莲前西路200号C103室
336,莲前西路146号(5672)莲前街道龙山桥社区||莲前街道||502室,福建省厦门市思明区莲前西路146号502室
337,文兴东二里26号105室,福建省厦门市思明区文兴东二里26号105室
338,洪文村洪文六里34号\2993\莲前莲翔社区|莲前|502室,福建省厦门市思明区洪文六里34号502室
339,洪文村洪文六里26号<7841>莲前街道|莲翔社区||莲前街道||101室,福建省厦门市思明区洪文六里26号101室
340,思明前埔二里212号(2503)莲前思明前埔北社区\\莲前\\206室,福建省厦门市思明区前埔二里212号206室
341,12前埔南小区(店上东西 里 )94 号、604 室号、,福建省厦门市思明区店上东里94号604室
342,思明前埔二里223号\2593\莲前思明前埔北社区|莲前|804室,福建省厦门市思明区前埔二里223号804室
343,西林西二里1号304室,福建省厦门市思明区西林西二里1号304室
344,店上东里71号<0043>莲前街道前埔南社区|莲前街道|105室,福建省厦门市思明区店上东里71号105室
345,店上西里48号<5605>莲前街道前埔南社区|莲前街道|703室,福建省厦门市思明区店上西里48号703室
346,前埔北/一里172号1003室,福建省厦门市思明区前埔一里172号1003室
347,莲前东路华林紫微小区752$702室,福建省厦门市思明区莲前东路752号702室
348,云亭花园352号301室,福建省厦门市思明区莲前西路352-1号301室
349,洪文二里109号瑞景-701室,福建省厦门市思明区洪文二里109号701室
350,88万景公寓37号1103室,福建省厦门市思明区洪莲东二里37号1103室
351,前埔东一里18号前埔北社区|602室,福建省厦门市思明区前埔东一里18号602室
352,西林东里140号莲云-401室,福建省厦门市思明区西林东里140号401室
353,96前埔北/一里166号206室,福建省厦门市思明区前埔一里166号206室
354,东芳花园729号903室,福建省厦门市思明区莲前西路729号903室
355,洪莲路68号<8832>莲前街道|莲丰社区||莲前街道||301室,福建省厦门市思明区洪莲路68号301室
356,文兴东三里12-1号807室,福建省厦门市思明区文兴东三里12-1号807室
357,思明前埔一里83号(2067)莲前思明前埔北社区\\莲前\\104室,福建省厦门市思明区前埔一里83号104室
358,洪文村洪文七里91-2号<6649>莲前街道|莲翔社区||莲前街道||1502室,福建省厦门市思明区洪文七里91-2号1502室
359,香榭园云顶花园2o3号7o4室,福建省厦门市思明区西林东里203号704室
360,店上东里5号(6099)莲前街道前埔南社区\\莲前街道\\506室,福建省厦门市思明区店上东里5号506室
361,洪莲东二里29号903室,福建省厦门市思明区洪莲东二里29号903室
362,57怡富花园一、二期254号102室,福建省厦门市思明区莲前西路254号102室
363,西林村西林西里15号<6896>莲前街道金鸡亭社区||莲前街道||C603室,福建省厦门市思明区西林西里15号C603室
364,洪文村洪文七里20号<7829>莲前街道瑞景社区||莲前街道||C113室,福建省厦门市思明区洪文七里20号C113室
365,东浦路华美宿舍楼244$C102室,福建省厦门市思明区东浦路244号C102室
366,前埔五里139号莲薇-201室,福建省厦门市思明区前埔五里139号201室
367,莲前西路294号(126)莲前莲怡社区\\莲前\\1202室,福建省厦门市思明区莲前西路294号1202室
368,洪莲里62-101号,福建省厦门市思明区洪莲里62-101号
369,洪莲里55号莲丰-C109室,福建省厦门市思明区洪莲里55号C109室
370,西林村西林东路299号(3668)莲前莲云社区\\莲前\\601室,福建省厦门市思明区西林东路299号601室
371,文兴东二里前埔南区文兴东一二里15#301室,福建省厦门市思明区文兴东二里15号301室
372,思明前埔二里180号<9631>莲前街道前埔北社区||莲前街道||509室,福建省厦门市思明区前埔二里180号509室
373,店上东里29号(2563)莲前思明前埔南社区|莲前|501室,福建省厦门市思明区店上东里29号501室
374,莲前西路116号<4982>莲前街道龙山桥社区||莲前街道||405室,福建省厦门市思明区莲前西路116号405室
375,前埔一里前埔北一里63$504室,福建省厦门市思明区前埔一里63号504室
376,88瑞景新村68号202室,福建省厦门市思明区洪文一里68号202室
377,西林村西林东里196号(1508)莲前街道\莲云社区\\莲前街道\\106室,福建省厦门市思明区西林东里196号106室
378,洪文八里厦航洪文小区(洪文六里)44$202室,福建省厦门市思明区洪文八里44号202室
379,店上东里1号\7004\莲前思明前埔南社区|莲前|507室,福建省厦门市思明区店上东里1号507室
380,前埔东一里华林东盛花园18$302室,福建省厦门市思明区前埔东一里18号302室
381,西林村西林东里153号(9425)莲前莲云社区\\莲前\\103室,福建省厦门市思明区西林东里153号103室
382,前埔一里164号402室,福建省厦门市思明区前埔一里164号402室
383,店上东里店上东西里小区61$201室,福建省厦门市思明区店上东里61号201室
384,洪文二里瑞景生活广场102#301室,福建省厦门市思明区洪文二里102号301室
385,思明前埔一里44号(4192)莲前思明前埔北社区|莲前|1006室,福建省厦门市思明区前埔一里44号1006室
386,东芳山庄12号,福建省厦门市思明区东芳山庄12号
387,西林村西林西里77号(9902)莲前街道金鸡亭社区||莲前街道||514室,福建省厦门市思明区西林西里77号514室
388,西林村西林东路413号<4766>莲前街道|莲云社区||莲前街道||203室,福建省厦门市思明区西林东路413号203室
389,洪文一里48号瑞景/701室,福建省厦门市思明区洪文一里48号701室
390,西林村西林东里154号(7508)莲前莲云社区\\莲前\\105室,福建省厦门市思明区西林东里154号105室
391,洪文六里61号莲翔-301室,福建省厦门市思明区洪文六里61号301室
392,西林东路永裕侨建闽联云顶岩403$401室,福建省厦门市思明区西林东路403号401室
393,洪文村洪文五里77号(1476)莲前洪文村洪文社区|莲前|602室,福建省厦门市思明区洪文五里77号602室
394,厦门市西林东路133号,福建省厦门市思明区西林东路133号
395,洪莲中路-292号莲丰社区|606室,福建省厦门市思明区洪莲中路292号606室
396,东坪山社122号101室,福建省厦门市思明区东坪山社122号101室
397,西林社78号308室,福建省厦门市思明区西林社78号308室
398,洪莲西里38号莲丰-1901室,福建省厦门市思明区洪莲西里38号1901室
399,西林西里36号金鸡亭社区|C501室,福建省厦门市思明区西林西里36号C501室
400,莲前东路-812号莲薇-C105室,福建省厦门市思明区莲前东路812号C105室
401,西林村西林东里139-10号<2767>莲前街道|莲云社区|莲前街道|101室,福建省厦门市思明区西林东里139-10号101室
402,前埔一里118号前埔北-201室,福建省厦门市思明区前埔一里118号201室
403,洪文一里47号201室,福建省厦门市思明区洪文一里47号201室
404,洪文八里99号莲翔社区|101室,福建省厦门市思明区洪文八里99号101室
405,莲前东路-703号前埔北社区|401室,福建省厦门市思明区莲前东路703号401室
406,前埔二里11号前埔北-701室,福建省厦门市思明区前埔二里11号701室
407,洪文村洪文一里127号(8898)莲前瑞景社区\\莲前\\201室,福建省厦门市思明区洪文一里127号201室
408,洪文一里120号瑞景/302室,福建省厦门市思明区洪文一里120号302室
409,前埔一里188号前埔北-405室,福建省厦门市思明区前埔一里188号405室
410,店上东里65号前埔南-402室,福建省厦门市思明区店上东里65号402室
411,洪莲里福满山庄101|702室,福建省厦门市思明区洪莲里101号702室
412,店上东里18号-前埔南社区504室,福建省厦门市思明区店上东里18号504室
413,西林东里1号金鸡亭社区203室,福建省厦门市思明区西林东里1号203室
414,思明前埔一里156号(601)莲前思明前埔北社区|莲前|104室,福建省厦门市思明区前埔一里156号104室
415,洪文一里56号瑞景/302室,福建省厦门市思明区洪文一里56号302室
416,侨文里30号102室,福建省厦门市思明区侨文里30号102室
417,侨文里侨福城小区一二三期30$102室,福建省厦门市思明区侨文里30号102室
418,洪莲里14号莲丰-201室,福建省厦门市思明区洪莲里14号201室
419,洪文村洪文六里15号\3405\莲前莲翔社区|莲前|402室,福建省厦门市思明区洪文六里15号402室
420,洪莲路-80号莲丰/101室,福建省厦门市思明区洪莲路80号101室
421,洪文六里36号莲翔社区|701室,福建省厦门市思明区洪文六里36号701室
422,前埔一里183号前埔北社区|705室,福建省厦门市思明区前埔一里183号705室
423,华林二期1号301室,福建省厦门市思明区前埔二里1号301室
424,莲前东路-383号莲丰社区|402室,福建省厦门市思明区莲前东路383号402室
425,莲前西路-142号龙山桥-301室,福建省厦门市思明区莲前西路142号301室
426,洪莲东二里2号万景-1201室,福建省厦门市思明区洪莲东二里2号1201室
427,西林东里47号金鸡亭-306室,福建省厦门市思明区西林东里47号306室
428,洪文六里4号莲翔-601室,福建省厦门市思明区洪文六里4号601室
429,东浦三里26号龙山桥-1904室,福建省厦门市思明区东浦三里26号1904室
430,思明前埔六里11号\9104\莲前莲翔社区|莲前|501室,福建省厦门市思明区前埔六里11号501室
431,62洪文三里小区。8号c109室,福建省厦门市思明区洪文三里8号c109室
432,90前埔北/一里161号602室,福建省厦门市思明区前埔一里161号602室
433,店上东西里小区2o号2o4室,福建省厦门市思明区店上西里20号204室
434,68前埔南小区-店上东西里-7号703室,福建省厦门市思明区店上东里7号703室
435,83华林紫微小区818号 303室,福建省厦门市思明区莲前东路818号303室
436,金尚路4号<4415>莲前街道|莲顺社区||莲前街道||502室,福建省厦门市思明区金尚路4号502室
437,店上东里50-3号302室,福建省厦门市思明区店上东里50-3号302室
438,洪莲中路12号,福建省厦门市思明区洪莲中路12号
439,洪莲中路12号快递公司,福建省厦门市思明区洪莲中路12号
440,前埔南小区(店上东西里)35号1o3室,福建省厦门市思明区店上西里35号103室
441,20云景花园137号1o2室,福建省厦门市思明区洪文六里137号102室
442,西林村西林东里208号(5569)莲前街道\莲云社区\\莲前街道\\606室,福建省厦门市思明区西林东里208号606室
443,洪莲路74号<7949>莲前街道|莲丰社区|莲前街道|402室,福建省厦门市思明区洪莲路74号402室
444,前埔北/一里178号102室,福建省厦门市思明区前埔一里178号102室
445,西林村西林东里159号\7964\莲前莲云社区|莲前|703室,福建省厦门市思明区西林东里159号703室
446,洪文泥窟社南片区7号洪文泥窟社南片区7号,福建省厦门市思明区洪文泥窟社南片区7号
447,10国贸新城34号205室,福建省厦门市思明区前埔二里34号205室
448,55永裕侨建闽联云顶岩413号4o5室,福建省厦门市思明区西林东路413号405室
449,67东芳花园739号202室,福建省厦门市思明区莲前西路739号202室
450,思明前埔东一里19号<4566>莲前街道前埔北社区|莲前街道|102室,福建省厦门市思明区前埔东一里19号102室
451,莲前西路224号<4275>莲前街道|莲怡社区|莲前街道|201室,福建省厦门市思明区莲前西路224号201室
452,福建省厦门市思明区怡富花园一期216号701室,福建省厦门市思明区莲前西路216号701室
453,前埔北区|二里21号302室,福建省厦门市思明区田厝路21号302室
454,店上东里79号(1142)莲前思明前埔南社区\\莲前\\403室,福建省厦门市思明区店上东里79号403室
455,91华林绿景花园172号601室,福建省厦门市思明区前埔五里172号601室
456,华林东盛花园29号201室,福建省厦门市思明区前埔东一里29号201室
457,瑞景新村81号701室,福建省厦门市思明区洪文一里81号701室
458,洪文村洪文一里123号<7345>莲前街道瑞景社区|莲前街道|302室,福建省厦门市思明区洪文一里123号302室
459,洪文五里93号501室,福建省厦门市思明区洪文五里93号501室
460,思明前埔六里14号<0817>莲前街道|莲翔社区|莲前街道|1801室,福建省厦门市思明区前埔六里14号1801室
461,洪文//洪莲中路515,福建省厦门市思明区洪莲中路515号
462,莲薇社區、前埔五裏152,福建省厦门市思明区前埔五里152号
463,莲翔//洪文六裏131,福建省厦门市思明区洪文六里131号
464,前埔南社區-文興東二裏58,福建省厦门市思明区文兴东二里58号
465,前埔北社區-前埔中-237,福建省厦门市思明区前埔中路237号
466,前埔北//前埔一裏117,福建省厦门市思明区前埔一里117号
467,莲翔社區-洪文六裏128,福建省厦门市思明区洪文六里128号
468,萬景社區、洪莲路428,福建省厦门市思明区洪莲路428号
469,金雞亭社区-西林東裏65,福建省厦门市思明区西林东里65号
470,萬景-洪蓮東二裏22,福建省厦门市思明区洪莲东二里22号
471,僑福//前埔西路307之101,福建省厦门市思明区前埔西路307-101号
472,蓮怡//蓮前西路314,福建省厦门市思明区莲前西路314号
473,莲順社區-東芳山莊55,福建省厦门市思明区东芳山庄55号
474,僑福//莲前東路639,福建省厦门市思明区莲前东路639号
475,萬景社區、呂嶺路1076,福建省厦门市思明区吕岭路1076号
476,前埔北社區 思明 前埔中路231,福建省厦门市思明区前埔中路231号
477,萬景社区-洪蓮-378,福建省厦门市思明区洪莲路378号
478,蓮翔社區/洪文八裏106,福建省厦门市思明区洪文八里106号
479,洪文社區 思明 洪莲中路25,福建省厦门市思明区洪莲中路25号
480,前埔北社区-前埔一裏120,福建省厦门市思明区前埔一里120号
481,僑福社区-前埔西-353,福建省厦门市思明区前埔西路353号
482,蓮豐//雲頂中路474,福建省厦门市思明区云顶中路474号
483,蓮豐社区、雲頂中路658,福建省厦门市思明区云顶中路658号
484,蓮薇社區-前埔南-52,福建省厦门市思明区前埔南路52号
485,蓮豐社区-雲頂中-566,福建省厦门市思明区云顶中路566号
486,蓮順社区/雲頂中路711,福建省厦门市思明区云顶中路711号
487,蓮薇社区、蓮前東路888之1,福建省厦门市思明区莲前东路888-1号
488,蓮豐社区-洪蓮裏4之101,福建省厦门市思明区洪莲里4-101号
489,前埔北社區 思明 前埔中路285,福建省厦门市思明区前埔中路285号
490,萬景社区、洪蓮北路1041,福建省厦门市思明区洪莲北路1041号
491,蓮薇社区-前埔南-88,福建省厦门市思明区前埔南路88号
492,前埔北社区、前埔東一裏21,福建省厦门市思明区前埔东一里21号
493,蓮薇社区-前埔西-170之101,福建省厦门市思明区前埔西路170-101号
494,蓮翔社區/洪文八裏105,福建省厦门市思明区洪文八里105号
495,莲豐社區 思明 洪莲裏43,福建省厦门市思明区洪莲里43号
496,前埔北//莲前東路989,福建省厦门市思明区莲前东路989号
497,蓮豐社区/蓮前東路77,福建省厦门市思明区莲前东路77号
498,蓮順社区 思明 東芳山莊44之1,福建省厦门市思明区东芳山庄44-1号
499,莲翔社區/莲前東路654,福建省厦门市思明区莲前东路654号
500,瑞景//莲前東路154,福建省厦门市思明区莲前东路154号
501,前埔北-前埔中路259,福建省厦门市思明区前埔中路259号
502,龍山橋社区 思明 東浦路565,福建省厦门市思明区东浦路565号
503,蓮豐-雲頂中路464,福建省厦门市思明区云顶中路464号
504,蓮豐社区、雲頂中路512,福建省厦门市思明区云顶中路512号
505,蓮翔社區-洪文八裏102,福建省厦门市思明区洪文八里102号
506,前埔北//前埔中路217,福建省厦门市思明区前埔中路217号
507,前埔北社区/前埔東一裏28,福建省厦门市思明区前埔东一里28号
508,蓮順社区 思明 東芳山莊11,福建省厦门市思明区东芳山庄11号
509,蓮豐社区、洪蓮裏59之5,福建省厦门市思明区洪莲里59-5号
510,前埔南社区-店上東裏88,福建省厦门市思明区店上东里88号
511,僑福社区-前埔西-339,福建省厦门市思明区前埔西路339号
512,蓮豐社区 思明 蓮前東路81,福建省厦门市思明区莲前东路81号
513,蓮豐-雲頂中路530,福建省厦门市思明区云顶中路530号
514,前埔北//蓮前東路971之101,福建省厦门市思明区莲前东路971-101号
515,蓮翔社區-洪文八裏87,福建省厦门市思明区洪文八里87号
516,萬景社区/洪蓮北路1029,福建省厦门市思明区洪莲北路1029号
517,蓮翔//洪文六裏110,福建省厦门市思明区洪文六里110号
518,僑福//蓮前東路633,福建省厦门市思明区莲前东路633号
519,蓮豐社区、雲頂中路502之3,福建省厦门市思明区云顶中路502-3号
520,前埔北社区 思明 前埔一裏140,福建省厦门市思明区前埔一里140号
521,蓮豐社区  洪蓮中路62,福建省厦门市思明区洪莲中路62号
522,前埔北社区/前埔一裏100,福建省厦门市思明区前埔一里100号
523,蓮順社区/東芳山莊72,福建省厦门市思明区东芳山庄72号
524,僑福社区、前埔西路325之101,福建省厦门市思明区前埔西路325-101号
525,洪文社區-洪莲中-29,福建省厦门市思明区洪莲中路29号
526,莲翔社區、洪文六裏118,福建省厦门市思明区洪文六里118号
527,僑福//前埔西路17,福建省厦门市思明区前埔西路17号
528,蓮豐社区、雲頂中路480,福建省厦门市思明区云顶中路480号
529,洪文//洪蓮西二裏181,福建省厦门市思明区洪莲西二里181号
530,莲豐社區 思明 洪莲裏24,福建省厦门市思明区洪莲里24号
531,莲順//東芳山莊89,福建省厦门市思明区东芳山庄89号
532,龍山橋社區-東浦-599,福建省厦门市思明区东浦路599号
533,洪文//洪蓮中路33,福建省厦门市思明区洪莲中路33号
534,蓮豐社区-雲頂中-524,福建省厦门市思明区云顶中路524号
535,蓮豐社区、雲頂中路554,福建省厦门市思明区云顶中路554号
536,洪文石村社南片区88号201室,福建省厦门市思明区洪文石村社南片区88号201室
537,西林东里145号莲云-301室,福建省厦门市思明区西林东里145号301室
538,68华林紫微小区776 号、104 室号、,福建省厦门市思明区莲前东路776号104室
539,店上东里23号202室,福建省厦门市思明区店上东里23号202室
540,前埔一里195号前埔北社区102室,福建省厦门市思明区前埔一里195号102室
541,店上西里3号<8956>莲前街道前埔南社区|莲前街道|406室,福建省厦门市思明区店上西里3号406室
542,前埔一里223号前埔北社区303室,福建省厦门市思明区前埔一里223号303室
543,前埔东一里20号前埔北社区|202室,福建省厦门市思明区前埔东一里20号202室
544,前埔五里208号莲薇-403室,福建省厦门市思明区前埔五里208号403室
545,西林东路-169号莲云社区602室,福建省厦门市思明区西林东路169号602室
546,85前埔北/一里148号505、,福建省厦门市思明区前埔一里148号505室
547,70华瑞花园52号104室,福建省厦门市思明区洪文五里52号104室
548,洪文村洪文六里11号(4202)莲前莲翔社区\\莲前\\201室,福建省厦门市思明区洪文六里11号201室
549,店上西里11号前埔南社区103/,福建省厦门市思明区店上西里11号103室
550,洪文五里13号瑞景社区502/,福建省厦门市思明区洪文五里13号502室
551,吕岭路-996号万景社区|302室,福建省厦门市思明区吕岭路996号302室
552,西林东里9号金鸡亭社区201室,福建省厦门市思明区西林东里9号201室
553,洪文一里114号瑞景社区201室,福建省厦门市思明区洪文一里114号201室
554,嘉盛豪园40-1202,福建省厦门市思明区洪莲西里40号1202室
555,前埔五里169号莲薇社区1002|,福建省厦门市思明区前埔五里169号1002室
556,红星安华小区。3号302室,福建省厦门市思明区东浦三里3号302室
557,17永裕侨建闽联云顶岩307号302室,福建省厦门市思明区西林东路307号302室
558,洪莲中路199号,福建省厦门市思明区洪莲中路199号
559,东坪山社81-2号101室,福建省厦门市思明区东坪山社81-2号101室
560,88洪文三 里 小区/19号C105,福建省厦门市思明区洪文三里19号C105室
561,龙山桥部队小区、194号C105室,福建省厦门市思明区东浦路194号C105室
562,20厦航洪文小区。(洪文六里)120号C101室,福建省厦门市思明区洪文八里120号C101室
563,红星安华小区13 号、1101 室号、,福建省厦门市思明区东浦三里13号1101室
564,西林东里香榭园云顶花园208#207室,福建省厦门市思明区西林东里208号207室
565,古楼南里20号405室,福建省厦门市思明区古楼南里20号405室
566,东山社14号,福建省厦门市思明区东山社14号
567,洪莲路32号\7786\莲前莲丰社区|莲前|701室,福建省厦门市思明区洪莲路32号701室
568,洪文石村社南片区63号洪文石村社南片区63号,福建省厦门市思明区洪文石村社南片区63号
569,思明区莲前东路904号501室,福建省厦门市思明区莲前东路904号501室
570,思明前埔五里158号\1103\莲前莲薇社区|莲前|603室,福建省厦门市思明区前埔五里158号603室
571,前埔一里219号304室,福建省厦门市思明区前埔一里219号304室
572,益辉花园72号302室,福建省厦门市思明区洪莲路72号302室
573,前埔二里42号前埔北-306室,福建省厦门市思明区前埔二里42号306室
574,洪文五里11号瑞景社区101室,福建省厦门市思明区洪文五里11号101室
575,洪山柄南区95号11o1室,福建省厦门市思明区洪文五里95号1101室
576,46民盛安置房745号601之1室,福建省厦门市思明区云顶中路745号601-1室
577,洪莲里66-3号,福建省厦门市思明区洪莲里66-3号
578,西林西里60号金鸡亭-C404室,福建省厦门市思明区西林西里60号C404室
579,莲前西路-120号龙山桥社区C110室,福建省厦门市思明区莲前西路120号C110室
580,莲前西路-358号-莲怡社区C102室,福建省厦门市思明区莲前西路358号C102室
581,前埔二里前埔北区二里164$508室,福建省厦门市思明区前埔二里164号508室
582,店上东里93号前埔南-505室,福建省厦门市思明区店上东里93号505室
583,洪莲东二里15号,福建省厦门市思明区洪莲东二里15号
584,前埔二里197号前埔北社区|402室,福建省厦门市思明区前埔二里197号402室
585,洪文一里28号-瑞景社区402室,福建省厦门市思明区洪文一里28号402室
586,东芳山庄93号莲顺社区103室,福建省厦门市思明区东芳山庄93号103室
587,莲前西路-152号龙山桥-202室,福建省厦门市思明区莲前西路152号202室
588,东浦三里2号龙山桥社区1102/,福建省厦门市思明区东浦三里2号1102室
589,47前埔北一 里 225号308,福建省厦门市思明区前埔一里225号308室
590,莲前西路-186号龙山桥社区402室,福建省厦门市思明区莲前西路186号402室
591,洪莲路-13号莲丰社区1702室,福建省厦门市思明区洪莲路13号1702室
592,前埔二里152号前埔北-513室,福建省厦门市思明区前埔二里152号513室
593,86前埔北/一里２１５号２１２室,福建省厦门市思明区前埔一里215号212室
594,前埔一里前埔北一里65|407室,福建省厦门市思明区前埔一里65号407室
595,云顶岩路47号<0696>莲前街道|莲云社区||莲前街道||101室,福建省厦门市思明区云顶岩路47号101室
596,西林西里161号金鸡亭社区|602室,福建省厦门市思明区西林西里161号602室
597,前埔西路351号,福建省厦门市思明区前埔西路351号
598,洪莲中路23号6楼,福建省厦门市思明区洪莲中路23号
599,中国铁建厦门轨道2号线钢材加工中心,福建省厦门市思明区洪文泥窟社北片区131号
600,洪文村洪文三里16号(5775)莲前瑞景社区\\莲前\\C107室,福建省厦门市思明区洪文三里16号C107室
601,西林村西林东里152号(695)莲前莲云社区\\莲前\\201室,福建省厦门市思明区西林东里152号201室
602,店上西里2号(8586)莲前思明前埔南社区\\莲前\\307室,福建省厦门市思明区店上西里2号307室
603,思明前埔二里222号(961)莲前思明前埔北社区\\莲前\\1106室,福建省厦门市思明区前埔二里222号1106室
604,洪文五里华瑞花园12$301室,福建省厦门市思明区洪文五里12号301室
605,前埔一里108号前埔北-308室,福建省厦门市思明区前埔一里108号308室
606,莲前西路怡富花园一、二期276$102室,福建省厦门市思明区莲前西路276号102室
607,莲前东路756号(4689)莲前莲薇社区\\莲前\\606室,福建省厦门市思明区莲前东路756号606室
608,华林绿景花园177栋2楼201,福建省厦门市思明区前埔五里177号201室
609,西林村西林西二里24号<3389>莲前街道|莲怡社区|莲前街道|601室,福建省厦门市思明区西林西二里24号601室
610,古楼南里46号308室,福建省厦门市思明区古楼北里46号308室
611,明发花园709号202 /,福建省厦门市思明区莲前东路709号
612,前埔北/一里51号508室,福建省厦门市思明区前埔一里51号508室
613,侨福城一期侨文里13号802,福建省厦门市思明区侨文里13号802室
614,前埔东一里华林东盛花园28#1102室,福建省厦门市思明区前埔东一里28号1102室
615,莲前西路108号(5968)莲前龙山桥社区\\莲前\\503室,福建省厦门市思明区莲前西路108号503室
616,西林西二路79号,福建省厦门市思明区西林西二路79号
617,90洪山柄北区73号202之1室,福建省厦门市思明区洪莲西里73号202-1室
618,联发紫微花园866号201,福建省厦门市思明区莲前东路866号201室
619,21前埔北/一里129号201室,福建省厦门市思明区前埔一里129号201室
620,侨文里18号701室,福建省厦门市思明区侨文里18号701室
621,西林东里166号莲云社区|804室,福建省厦门市思明区西林东里166号804室
622,前埔北区|二里9号601室,福建省厦门市思明区田厝路9号601室
623,古楼南里8号(9901)莲前思明前埔南社区\\莲前\\505室,福建省厦门市思明区古楼南里8号505室
624,洪文村洪文一里136号<5536>莲前街道瑞景社区||莲前街道||101室,福建省厦门市思明区洪文一里136号101室
625,89香榭园云顶花园141 号、602 室号、,福建省厦门市思明区西林东里141号602室
626,55华林二期2号501室,福建省厦门市思明区前埔二里2号501室
627,店上东里77#前埔南社区308室,福建省厦门市思明区店上东里77号308室
628,68瑞景生活广场112号401室,福建省厦门市思明区洪文二里112号401室
629,71夏商百批宿舍851号403室,福建省厦门市思明区莲前西路851号403室
630,洪文村洪文七里7号(4141)莲前瑞景社区|莲前|2101室,福建省厦门市思明区洪文七里7号2101室
631,68华瑞花园17号202室,福建省厦门市思明区洪文五里17号202室
632,侨福城侨兴里21号304,福建省厦门市思明区侨兴里21号304室
633,洪文村洪文六里41号(2979)莲前莲翔社区\\莲前\\502室,福建省厦门市思明区洪文六里41号502室
634,古楼北里小区60号之二402,福建省厦门市思明区古楼北里60-2号402室
635,前埔六里源泉山庄16$1301室,福建省厦门市思明区前埔六里16号1301室
636,西林路西林村112号,福建省厦门市思明区西林社112号
637,东浦路140号607室,福建省厦门市思明区东浦路140号607室
638,古楼南里15号204室,福建省厦门市思明区古楼北里15号204室
639,思明区店上东里3号203,福建省厦门市思明区店上东里3号203室
640,莲前东路902号(2697)莲前莲薇社区\\莲前\\106室,福建省厦门市思明区莲前东路902号106室
641,西林东里42号705室,福建省厦门市思明区西林东里42号705室
642,店上东里29号601室,福建省厦门市思明区店上东里29号601室
643,洪文六里厦航洪文小区(洪文六里)27$401室,福建省厦门市思明区洪文六里27号401室
644,华林紫微小区758號403室,福建省厦门市思明区莲前东路758号403室
645,云顶中路民盛安置房739$202室,福建省厦门市思明区云顶中路739号202室
646,西林东里236号,福建省厦门市思明区西林东里236号
647,洪文一里118号瑞景/102室,福建省厦门市思明区洪文一里118号102室
648,西林村东坪山社84-1号,福建省厦门市思明区东坪山社84-1号
649,0国贸新城76 号、101 室号、,福建省厦门市思明区田厝路76号101室
650,思明侨洪里7号1502室,福建省厦门市思明区侨洪里7号1502室
651,莲前西路96号(4206)莲前龙山桥社区\\莲前\\206室,福建省厦门市思明区莲前西路96号206室
652,洪山柄北区152号101室,福建省厦门市思明区洪莲西里152号101室
653,洪莲东二里36号(2355)莲前万景社区\\莲前\\803室,福建省厦门市思明区洪莲东二里36号803室
654,洪文六里129号莲翔社区501室,福建省厦门市思明区洪文六里129号501室
655,金鸡亭小区74号405室,福建省厦门市思明区西林西里74号405室
656,店上东里89号前埔南-604室,福建省厦门市思明区店上东里89号604室
657,69一百宿舍164号C101室,福建省厦门市思明区东浦路164号C101室
658,华林紫微小区784号C107室,福建省厦门市思明区莲前东路784号C107室
659,宝龙一城东塔1402室,福建省厦门市思明区吕岭路1581号1402室
660,前埔五里195号莲薇-201室,福建省厦门市思明区前埔五里195号201室
661,田厝路25号(5571)莲前思明前埔北社区\\莲前\\403室,福建省厦门市思明区田厝路25号403室
662,金鸡亭花园小区８２号８０６室,福建省厦门市思明区西林西里82号806室
663,洪文村洪文一里99号(7651)莲前街道瑞景社区||莲前街道||202室,福建省厦门市思明区洪文一里99号202室
664,洪文六里33号莲翔-501室,福建省厦门市思明区洪文六里33号501室
